P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:25:08 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:25:13 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:26:02 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:26:06 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-7-SLD - Panel Schedules.dwg,E-7.1,12/22/2025 12:44:56 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-7-SLD - Panel Schedules.dwg,E-7.2,12/22/2025 12:44:57 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-8-Title-24.dwg,E-8.1,12/22/2025 12:45:05 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-8-Title-24.dwg,E-8.2,12/22/2025 12:45:06 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-0 -Cover sheet.dwg,E-0,12/22/2025 12:54:02 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-1-Power.dwg,E-1,12/22/2025 12:54:07 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-2-Lighting.dwg,E-2,12/22/2025 12:54:13 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-5 -Schedule and Details.dwg,E-5,12/22/2025 12:54:17 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-6-LTG Details.dwg,E-6,12/22/2025 12:54:21 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-7-SLD - Panel Schedules.dwg,E-7.1,12/22/2025 12:54:25 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
